eventID,userID,sessionID,docID,page,sourceText,translatedText,sourceLang,targetLang,translationMode,provider,translatedAt,settingsSnapshot,docName,isUndesired,translationOutputMode
12,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,annoying,ενοχλητικές,en,el,word,deepl,2026-05-08T11:50:22.722Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
13,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,truth,η αλήθεια,en,el,word,deepl,2026-05-08T11:50:23.515Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
14,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,incredibly,απίστευτα,en,el,word,deepl,2026-05-08T11:50:26.473Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
15,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,important,σημαντικό,en,el,word,deepl,2026-05-08T11:50:28.541Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
16,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,annoying,ενοχλητικές,en,el,word,deepl,2026-05-08T11:50:31.032Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
17,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,humans.,τους ανθρώπους.,en,el,word,deepl,2026-05-08T11:50:34.073Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
18,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,incredibly,απίστευτα,en,el,word,deepl,2026-05-08T11:50:37.559Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
19,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,humans.,τους ανθρώπους.,en,el,word,deepl,2026-05-08T11:50:38.043Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
20,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,incredibly,απίστευτα,en,el,word,deepl,2026-05-08T11:50:38.477Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
21,3,95c4a045-a8d6-4b98-a5dd-4054c83b572f,13,1,mass,μαζική,en,el,word,deepl,2026-05-08T11:50:43.469Z,"{""zoom"": 1, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 286, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": -10, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""bee_reading_c1.pdf""}",bee_reading_c1.pdf,0,on
22,4,94b05579-31f4-4631-b2ea-beb634a1d5cd,16,1,traveller,ταξιδιώτης,en,el,word,deepl,2026-05-08T13:31:37.547Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 8, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
23,4,94b05579-31f4-4631-b2ea-beb634a1d5cd,16,1,Large,Μεγάλο,en,el,word,deepl,2026-05-08T13:31:37.919Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 8, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
24,4,94b05579-31f4-4631-b2ea-beb634a1d5cd,16,1,traveller,ταξιδιώτης,en,el,word,deepl,2026-05-08T13:31:38.561Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 8, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
25,4,94b05579-31f4-4631-b2ea-beb634a1d5cd,16,1,Use,Χρήση,en,el,word,deepl,2026-05-08T13:31:42.302Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 8, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
26,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,warm,ζεστό,en,el,word,deepl,2026-05-08T13:34:17.942Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
27,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,sunlight,ηλιακό φως,en,el,word,deepl,2026-05-08T13:34:18.566Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
28,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,covered,κάλυψε,en,el,word,deepl,2026-05-08T13:34:19.422Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
29,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,path.,μονοπάτι.,en,el,word,deepl,2026-05-08T13:34:20.344Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
30,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,mapping.,χαρτογράφηση.,en,el,word,deepl,2026-05-08T13:34:21.474Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
31,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,weight.,πάχος.,en,el,word,deepl,2026-05-08T13:34:22.359Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
32,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,vertical,κάθετη,en,el,word,deepl,2026-05-08T13:34:23.152Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
33,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,iixed,σταθερό,en,el,word,deepl,2026-05-08T13:34:24.183Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
34,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,sizes,μεγέθη,en,el,word,deepl,2026-05-08T13:34:26.288Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
35,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,iixed,σταθερό,en,el,word,deepl,2026-05-08T13:34:28.023Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
36,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,sizes,μεγέθη,en,el,word,deepl,2026-05-08T13:34:28.946Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
37,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,verticai,κάθετη,en,el,word,deepl,2026-05-08T13:34:29.587Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
38,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,check,έλεγχος,en,el,word,deepl,2026-05-08T13:34:30.301Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
39,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,Larger,Μεγαλύτερη,en,el,word,deepl,2026-05-08T13:34:33.243Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
40,4,2a46f681-0599-44ba-ade2-a25b702bdaa5,16,1,line,γραμμή,en,el,word,deepl,2026-05-08T13:34:34.150Z,"{""zoom"": 0.84, ""theme"": ""dark"", ""language"": ""en"", ""baseGazeSamples"": 60, ""translationMode"": ""word"", ""translationOutputMode"": ""on"", ""showBoxes"": false, ""hoverTranslateDebug"": false, ""showGazeCursor"": true, ""gazeDetectionMode"": ""circle"", ""gazeMappingMode"": ""auto"", ""gazeYOffsetPx"": 2, ""gazeXOffsetPx"": 0, ""gazeHitRadiusPx"": 20, ""sensitivity"": 391, ""currentPdfFile"": ""eye_tracking_validation_reading_sheet.pdf""}",eye_tracking_validation_reading_sheet.pdf,0,on
