username,firstTimestamp,secondTimestamp,firstRawID,secondRawID,firstSUS,secondSUS,change,firstValues,secondValues,firstContrib,secondContrib
1065023,2026/05/18 8:22:59 μ.μ. GMT+3,2026/05/21 6:16:36 μ.μ. GMT+3,1065023,1065023,77.5,82.5,5.0,"[3, 1, 3, 1, 4, 3, 5, 2, 4, 1]","[3, 1, 5, 3, 3, 2, 5, 1, 5, 1]","[2, 4, 2, 4, 3, 2, 4, 3, 3, 4]","[2, 4, 4, 2, 2, 3, 4, 4, 4, 4]"
1108387,2026/05/19 9:45:38 π.μ. GMT+3,2026/06/04 11:55:56 π.μ. GMT+3,1108387,1108387,85.0,80.0,-5.0,"[4, 1, 4, 2, 4, 2, 5, 1, 4, 1]","[4, 2, 4, 1, 4, 2, 5, 2, 3, 1]","[3, 4, 3, 3, 3, 3, 4, 4, 3, 4]","[3, 3, 3, 4, 3, 3, 4, 3, 2, 4]"
1108330,2026/05/19 10:14:49 π.μ. GMT+3,2026/05/30 10:00:46 π.μ. GMT+3,1108330,1108330,87.5,85.0,-2.5,"[3, 1, 5, 1, 4, 2, 5, 1, 4, 1]","[3, 1, 5, 1, 4, 2, 5, 1, 4, 2]","[2, 4, 4, 4, 3, 3, 4, 4, 3, 4]","[2, 4, 4, 4, 3, 3, 4, 4, 3, 3]"
1108339,2026/05/19 10:39:21 π.μ. GMT+3,2026/05/28 1:31:45 μ.μ. GMT+3,1108339,1108339 2,87.5,82.5,-5.0,"[5, 2, 4, 1, 4, 3, 5, 1, 5, 1]","[4, 1, 4, 2, 4, 3, 5, 1, 4, 1]","[4, 3, 3, 4, 3, 2, 4, 4, 4, 4]","[3, 4, 3, 3, 3, 2, 4, 4, 3, 4]"
1108349,2026/05/19 12:45:41 μ.μ. GMT+3,2026/05/27 4:43:43 μ.μ. GMT+3,1108349,1108349 2,77.5,85.0,7.5,"[3, 1, 4, 2, 5, 1, 2, 3, 5, 1]","[3, 1, 5, 2, 5, 1, 4, 1, 3, 1]","[2, 4, 3, 3, 4, 4, 1, 2, 4, 4]","[2, 4, 4, 3, 4, 4, 3, 4, 2, 4]"
1108357,2026/05/19 3:38:00 μ.μ. GMT+3,2026/06/03 10:21:50 π.μ. GMT+3,1108357,1108357,85.0,77.5,-7.5,"[5, 1, 4, 1, 4, 2, 4, 2, 4, 1]","[5, 1, 4, 3, 4, 2, 4, 2, 4, 2]","[4, 4, 3, 4, 3, 3, 3, 3, 3, 4]","[4, 4, 3, 2, 3, 3, 3, 3, 3, 3]"
1100663,2026/05/19 4:07:45 μ.μ. GMT+3,2026/05/29 2:29:52 μ.μ. GMT+3,1100663,1100663 2,70.0,70.0,0.0,"[4, 2, 3, 2, 4, 2, 4, 2, 3, 2]","[4, 2, 3, 2, 3, 2, 4, 2, 4, 2]","[3, 3, 2, 3, 3, 3, 3, 3, 2, 3]","[3, 3, 2, 3, 2, 3, 3, 3, 3, 3]"
1108328,2026/05/19 6:57:31 μ.μ. GMT+3,2026/05/30 12:46:10 μ.μ. GMT+3,1108328,1108328,90.0,80.0,-10.0,"[5, 1, 3, 1, 4, 2, 5, 1, 5, 1]","[5, 1, 3, 1, 4, 2, 4, 3, 4, 1]","[4, 4, 2, 4, 3, 3, 4, 4, 4, 4]","[4, 4, 2, 4, 3, 3, 3, 2, 3, 4]"
1108335,2026/05/20 12:20:32 μ.μ. GMT+3,2026/06/04 12:24:05 μ.μ. GMT+3,1108335,1108335,87.5,87.5,0.0,"[4, 1, 4, 1, 4, 1, 4, 1, 4, 1]","[4, 1, 4, 1, 4, 1, 5, 1, 3, 1]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 4]","[3, 4, 3, 4, 3, 4, 4, 4, 2, 4]"
1093515,2026/05/21 9:39:34 π.μ. GMT+3,2026/05/29 9:59:50 π.μ. GMT+3,1093515,1093515,87.5,80.0,-7.5,"[3, 1, 4, 1, 4, 2, 5, 1, 5, 1]","[4, 1, 3, 1, 3, 3, 5, 2, 5, 1]","[2, 4, 3, 4, 3, 3, 4, 4, 4, 4]","[3, 4, 2, 4, 2, 2, 4, 3, 4, 4]"
1093313,2026/05/21 9:56:25 π.μ. GMT+3,2026/06/04 10:35:26 π.μ. GMT+3,1093313,1093313,77.5,60.0,-17.5,"[3, 1, 4, 1, 3, 3, 5, 2, 4, 1]","[2, 2, 3, 2, 4, 4, 4, 2, 2, 1]","[2, 4, 3, 4, 2, 2, 4, 3, 3, 4]","[1, 3, 2, 3, 3, 1, 3, 3, 1, 4]"
1104816,2026/05/21 5:31:27 μ.μ. GMT+3,2026/05/29 1:16:44 μ.μ. GMT+3,1104816,1104816 2,92.5,82.5,-10.0,"[5, 1, 4, 1, 4, 1, 5, 1, 4, 1]","[5, 1, 4, 1, 4, 3, 5, 2, 4, 2]","[4, 4, 3, 4, 3, 4, 4, 4, 3, 4]","[4, 4, 3, 4, 3, 2, 4, 3, 3, 3]"
1100497,2026/05/21 5:58:07 μ.μ. GMT+3,2026/05/29 12:22:58 μ.μ. GMT+3,1100497,1100497 2,82.5,70.0,-12.5,"[3, 1, 5, 1, 4, 2, 4, 2, 4, 1]","[2, 2, 4, 2, 4, 3, 4, 2, 4, 1]","[2, 4, 4, 4, 3, 3, 3, 3, 3, 4]","[1, 3, 3, 3, 3, 2, 3, 3, 3, 4]"
1080401,2026/05/25 9:33:35 π.μ. GMT+3,2026/05/30 1:22:19 μ.μ. GMT+3,1080401,1080401,80.0,90.0,10.0,"[4, 1, 5, 1, 3, 3, 4, 2, 4, 1]","[4, 1, 5, 1, 3, 2, 5, 1, 5, 1]","[3, 4, 4, 4, 2, 2, 3, 3, 3, 4]","[3, 4, 4, 4, 2, 3, 4, 4, 4, 4]"
1112119c,2026/05/25 11:44:23 π.μ. GMT+3,2026/05/28 11:51:31 π.μ. GMT+3,1112119,1112119 2,77.5,87.5,10.0,"[3, 2, 4, 1, 4, 2, 5, 3, 4, 1]","[4, 1, 4, 1, 4, 2, 5, 2, 5, 1]","[2, 3, 3, 4, 3, 3, 4, 2, 3, 4]","[3, 4, 3, 4, 3, 3, 4, 3, 4, 4]"
1108346,2026/05/25 12:05:35 μ.μ. GMT+3,2026/05/28 11:09:24 π.μ. GMT+3,1108346,1108346,70.0,75.0,5.0,"[3, 2, 4, 2, 4, 3, 3, 2, 4, 1]","[3, 2, 4, 2, 4, 1, 2, 1, 4, 1]","[2, 3, 3, 3, 3, 2, 2, 3, 3, 4]","[2, 3, 3, 3, 3, 4, 1, 4, 3, 4]"
1103080,2026/05/25 12:30:37 μ.μ. GMT+3,2026/06/04 3:48:21 μ.μ. GMT+3,1103080,1103080,75.0,67.5,-7.5,"[3, 2, 3, 1, 4, 2, 4, 1, 3, 1]","[3, 2, 4, 2, 3, 3, 4, 2, 3, 1]","[2, 3, 2, 4, 3, 3, 3, 4, 2, 4]","[2, 3, 3, 3, 2, 2, 3, 3, 2, 4]"
1100758,2026/05/25 2:01:18 μ.μ. GMT+3,2026/05/28 2:17:44 μ.μ. GMT+3,1100758,1100758 2,65.0,77.5,12.5,"[3, 2, 3, 2, 3, 2, 4, 2, 3, 2]","[4, 1, 3, 2, 4, 2, 4, 1, 4, 2]","[2, 3, 2, 3, 2, 3, 3, 3, 2, 3]","[3, 4, 2, 3, 3, 3, 3, 4, 3, 3]"
1108344,2026/05/25 2:27:50 μ.μ. GMT+3,2026/05/28 12:32:04 μ.μ. GMT+3,1108344,1108344 2,85.0,87.5,2.5,"[4, 1, 4, 2, 3, 2, 5, 1, 5, 1]","[4, 1, 4, 1, 4, 2, 5, 1, 4, 1]","[3, 4, 3, 3, 2, 3, 4, 4, 4, 4]","[3, 4, 3, 4, 3, 3, 4, 4, 3, 4]"
1108364,2026/05/25 3:09:45 μ.μ. GMT+3,2026/05/28 12:59:28 μ.μ. GMT+3,1108364,1108364 2,75.0,82.5,7.5,"[3, 1, 4, 2, 4, 2, 5, 1, 1, 1]","[4, 1, 4, 1, 3, 2, 5, 1, 3, 1]","[2, 4, 3, 3, 3, 3, 4, 4, 0, 4]","[3, 4, 3, 4, 2, 3, 4, 4, 2, 4]"
1093348,2026/05/25 3:56:06 μ.μ. GMT+3,2026/06/04 3:25:40 μ.μ. GMT+3,1093348,1093348,72.5,75.0,2.5,"[3, 1, 3, 1, 3, 4, 5, 3, 5, 1]","[3, 2, 4, 1, 4, 2, 4, 2, 3, 1]","[2, 4, 2, 4, 2, 1, 4, 2, 4, 4]","[2, 3, 3, 4, 3, 3, 3, 3, 2, 4]"
1104818,2026/05/25 4:25:27 μ.μ. GMT+3,2026/05/28 5:57:17 μ.μ. GMT+3,1104818,1104818,62.5,65.0,2.5,"[2, 2, 3, 2, 4, 3, 4, 3, 4, 2]","[4, 2, 3, 2, 4, 3, 3, 3, 4, 2]","[1, 3, 2, 3, 3, 2, 3, 2, 3, 3]","[3, 3, 2, 3, 3, 2, 2, 2, 3, 3]"
1093505,2026/05/25 4:58:52 μ.μ. GMT+3,2026/06/03 3:56:38 μ.μ. GMT+3,1093505,1093505,82.5,80.0,-2.5,"[2, 2, 5, 2, 5, 1, 5, 2, 4, 1]","[3, 2, 5, 2, 4, 2, 5, 2, 4, 1]","[1, 3, 4, 3, 4, 4, 4, 3, 3, 4]","[2, 3, 4, 3, 3, 3, 4, 3, 3, 4]"
1095564,2026/05/25 5:17:40 μ.μ. GMT+3,2026/06/03 2:40:56 μ.μ. GMT+3,1095564,1095564 2,87.5,85.0,-2.5,"[3, 1, 5, 1, 4, 2, 4, 1, 5, 1]","[3, 1, 4, 2, 4, 2, 5, 1, 5, 1]","[2, 4, 4, 4, 3, 3, 3, 4, 4, 4]","[2, 4, 3, 3, 3, 3, 4, 4, 4, 4]"
1070729,2026/05/25 6:02:54 μ.μ. GMT+3,2026/05/28 4:45:47 μ.μ. GMT+3,1070729,1070729 2,85.0,85.0,0.0,"[4, 1, 4, 2, 4, 3, 5, 1, 5, 1]","[4, 1, 5, 1, 3, 3, 5, 1, 4, 1]","[3, 4, 3, 3, 3, 2, 4, 4, 4, 4]","[3, 4, 4, 4, 2, 2, 4, 4, 3, 4]"
1084609,2026/05/25 6:43:45 μ.μ. GMT+3,2026/05/28 4:23:44 μ.μ. GMT+3,1084609,1084609 2,70.0,72.5,2.5,"[3, 2, 4, 1, 4, 3, 3, 2, 3, 1]","[3, 2, 4, 2, 4, 3, 4, 1, 4, 2]","[2, 3, 3, 4, 3, 2, 2, 3, 2, 4]","[2, 3, 3, 3, 3, 2, 3, 4, 3, 3]"
1093379,2026/05/26 11:09:59 π.μ. GMT+3,2026/06/04 4:16:11 μ.μ. GMT+3,1093379,1093379,82.5,87.5,5.0,"[3, 1, 3, 1, 4, 2, 5, 2, 5, 1]","[4, 2, 4, 2, 5, 1, 4, 1, 5, 1]","[2, 4, 2, 4, 3, 3, 4, 3, 4, 4]","[3, 3, 3, 3, 4, 4, 3, 4, 4, 4]"
1100496,2026/05/26 1:26:24 μ.μ. GMT+3,2026/06/02 1:17:21 μ.μ. GMT+3,1100496,1100496 2,82.5,85.0,2.5,"[4, 2, 5, 2, 4, 2, 4, 1, 4, 1]","[4, 1, 4, 1, 4, 2, 4, 1, 4, 1]","[3, 3, 4, 3, 3, 3, 3, 4, 3, 4]","[3, 4, 3, 4, 3, 3, 3, 4, 3, 4]"
1090053,2026/05/27 10:00:16 π.μ. GMT+3,2026/05/30 12:00:29 μ.μ. GMT+3,1090053,1090053,75.0,87.5,12.5,"[3, 2, 4, 1, 3, 3, 5, 2, 4, 1]","[3, 1, 4, 1, 5, 2, 5, 1, 4, 1]","[2, 3, 3, 4, 2, 2, 4, 3, 3, 4]","[2, 4, 3, 4, 4, 3, 4, 4, 3, 4]"
1108365,2026/05/28 10:35:13 π.μ. GMT+3,2026/06/03 1:15:32 μ.μ. GMT+3,1108365,1108365 2,77.5,80.0,2.5,"[4, 2, 4, 3, 5, 2, 4, 2, 5, 2]","[4, 2, 5, 3, 4, 2, 5, 2, 5, 2]","[3, 3, 3, 2, 4, 3, 3, 3, 4, 3]","[3, 3, 4, 2, 3, 3, 4, 3, 4, 3]"
1093413,2026/05/28 1:59:51 μ.μ. GMT+3,2026/06/04 1:26:34 μ.μ. GMT+3,1093413,1093413,87.5,80.0,-7.5,"[3, 1, 5, 2, 4, 1, 5, 1, 5, 2]","[5, 1, 5, 3, 4, 4, 5, 1, 5, 3]","[2, 4, 4, 3, 3, 4, 4, 4, 4, 3]","[4, 4, 4, 2, 3, 1, 4, 4, 4, 2]"
1104806,2026/05/29 2:09:05 μ.μ. GMT+3,2026/06/05 9:37:13 π.μ. GMT+3,1104806,1104806,70.0,77.5,7.5,"[3, 2, 4, 3, 4, 2, 4, 2, 4, 2]","[3, 1, 4, 2, 4, 2, 4, 1, 4, 2]","[2, 3, 3, 2, 3, 3, 3, 3, 3, 3]","[2, 4, 3, 3, 3, 3, 3, 4, 3, 3]"
1112115,2026/05/29 3:46:26 μ.μ. GMT+3,2026/06/04 2:24:33 μ.μ. GMT+3,1112115,1112115,100.0,100.0,0.0,"[5, 1, 5, 1, 5, 1, 5, 1, 5, 1]","[5, 1, 5, 1, 5, 1, 5, 1, 5, 1]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
1100613,2026/05/29 4:30:47 μ.μ. GMT+3,2026/06/05 10:52:48 π.μ. GMT+3,1100613,1100613,82.5,82.5,0.0,"[4, 2, 4, 3, 4, 2, 5, 1, 5, 1]","[4, 1, 5, 2, 4, 2, 4, 2, 4, 1]","[3, 3, 3, 2, 3, 3, 4, 4, 4, 4]","[3, 4, 4, 3, 3, 3, 3, 3, 3, 4]"
1059657,2026/05/29 5:26:27 μ.μ. GMT+3,2026/06/04 2:46:04 μ.μ. GMT+3,1059657,1059657,62.5,52.5,-10.0,"[3, 1, 3, 3, 3, 2, 3, 2, 3, 2]","[3, 1, 3, 2, 2, 4, 3, 3, 2, 2]","[2, 4, 2, 2, 2, 3, 2, 3, 2, 3]","[2, 4, 2, 3, 1, 1, 2, 2, 1, 3]"
1093332,2026/05/30 5:43:53 μ.μ. GMT+3,2026/06/05 10:20:45 π.μ. GMT+3,1093332,1093332,60.0,65.0,5.0,"[4, 2, 3, 4, 3, 3, 4, 2, 3, 2]","[4, 2, 3, 3, 3, 2, 4, 2, 3, 2]","[3, 3, 2, 1, 2, 2, 3, 3, 2, 3]","[3, 3, 2, 2, 2, 3, 3, 3, 2, 3]"
1093390,2026/05/30 6:09:51 μ.μ. GMT+3,2026/06/04 9:54:13 π.μ. GMT+3,1093390,1093390,75.0,82.5,7.5,"[4, 1, 3, 2, 3, 3, 4, 1, 4, 1]","[3, 1, 5, 1, 3, 3, 5, 1, 4, 1]","[3, 4, 2, 3, 2, 2, 3, 4, 3, 4]","[2, 4, 4, 4, 2, 2, 4, 4, 3, 4]"
1104782,2026/06/02 2:30:01 μ.μ. GMT+3,2026/06/05 10:01:15 π.μ. GMT+3,1104782,1104782,95.0,92.5,-2.5,"[4, 1, 5, 1, 4, 1, 5, 1, 5, 1]","[5, 1, 4, 1, 4, 2, 5, 1, 5, 1]","[3, 4, 4, 4, 3, 4, 4, 4, 4, 4]","[4, 4, 3, 4, 3, 3, 4, 4, 4, 4]"
